Airport Code,Airport Name,City Name,Country Name,,,,,,,
RWS,Sumare,Sumare,Brazil,,,,,,,
TUX,Tumbler Ridge,Tumbler Ridge,Canada,,,,,,,
EYW,International,Key West,United States,,,,,,,
MLT,Millinocket,Millinocket,United States,,,,,,,
GWA,Gwa,Gwa,Myanmar,,,,,,,
PEI,Matecana,Pereira,Colombia,,,,,,,
HMI,Hami,Hami,China,,,,,,,
PNJ,Peng Lai/Sha He Kou,Peng Lai,China,,,,,,,
DCI,Rafsu Decimomannu,Decimomannu,Italy,,,,,,,
BGL,Baglung,Baglung,Nepal,,,,,,,
HOR,Horta,Horta,Portugal,,,,,,,
EMT,El Monte,El Monte,United States,,,,,,,
JIO,Intl Heliport,Ontario,United States,,,,,,,
LPS,Lopez Island,Lopez Island,United States,,,,,,,
CEV,Mettle Field,Connersville,United States,,,,,,,
OAK,Oakland International Airport,Oakland,United States,,,,,,,
JDO,Regional Do Cariri,Juazeiro Do Norte,Brazil,,,,,,,
WUK,Off Line Point,Hammersmith,United Kingdom,,,,,,,
CZF,Cape Romanzof,Cape Romanzof,United States,,,,,,,
ZBK,Zabljak,Zabljak,Yugoslavia,,,,,,,
SZQ,Saenz Pena,Saenz Pena,Argentina,,,,,,,
SWB,Shaw River,Shaw River,Australia,,,,,,,
MSZ,Namibe,Namibe,Angola,,,,,,,
BTX,Betoota,Betoota,Australia,,,,,,,
DOX,Dongara,Dongara,Australia,,,,,,,
SCG,Spring Creek,Spring Creek,Australia,,,,,,,
BDC,Barra Do Corda,Barra Do Corda,Brazil,,,,,,,
WPU,Puerto Williams,Puerto Williams,Chile,,,,,,,
CNK,Blosser Municipal,Concordia,United States,,,,,,,
HNC,Hatteras,Hatteras,United States,,,,,,,
MJT,Mytilene International Airport,Mytilene,Greece,,,,,,,
QRY,Heliport,Ikerasaarsuk,Greenland,,,,,,,
WSP,Waspam,Waspam,Nicaragua,,,,,,,
LSA,Losuia,Losuia,Papua New Guinea,,,,,,,
SOL,Solomon,Solomon,United States,,,,,,,
MNI,Gerald's Airport,Gerald's Park,Montserrat,,,,,,,
WKN,Wakunai,Wakunai,Papua New Guinea,,,,,,,
WNU,Wanuma,Wanuma,Papua New Guinea,,,,,,,
AHT,Amchitka,Amchitka,United States,,,,,,,
AUS,Austin-bergstrom International,Austin,United States,,,,,,,
BJP,Braganca Paulista,Braganca Paulista,Brazil,,,,,,,
PVI,Edu Chaves,Paranavai,Brazil,,,,,,,
FRC,Franca,Franca,Brazil,,,,,,,
OXD,Miami University,Oxford,United States,,,,,,,
RBY,Ruby,Ruby,United States,,,,,,,
WSF,Sarichef,Sarichef,United States,,,,,,,
JYV,Jyvaskyla,Jyvaskyla,Finland,,,,,,,
ZVG,Springvale,Springvale,Australia,,,,,,,
XNU,Nouna,Nouna,Burkina Faso,,,,,,,
YSH,Smith Falls,Smith Falls,Canada,,,,,,,
YSZ,Squirrel Cove,Squirrel Cove,Canada,,,,,,,
MPC,Muko-Muko,Muko-Muko,Indonesia,,,,,,,
KKX,Kikaiga Shima,Kikaiga Shima,Japan,,,,,,,
HAX,Hatbox Field,Muskogee,United States,,,,,,,
HTW,Lawrence County Airpark,Chesapeake/Huntington Wv,United States,,,,,,,
GAI,Montgomery County,Gaithersburg,United States,,,,,,,
PHZ,Phi Phi Island,Phi Phi Island,Thailand,,,,,,,
HFE,Shanghai,Luogang,China,,,,,,,
SMF,Sacramento International,"Sacramento, CA",United States,,,,,,,
SKY,Griffing Sandusky,Sandusky,United States,,,,,,,
HDA,Hidden Falls,Hidden Falls,United States,,,,,,,
GVT,Majors Field,Greenville,United States,,,,,,,
GMV,Monument Valley,Monument Valley Gldngs,United States,,,,,,,
PFC,Pacific City State,"Pacific City, OH",United States,,,,,,,
VXC,Lichinga,Lichinga,Mozambique,,,,,,,
GAZ,Guasopa,Guasopa,Papua New Guinea,,,,,,,
DOD,Dodoma,Dodoma,Tanzania,,,,,,,
NBP,Battery Pk City/N. Cov,New York,United States,,,,,,,
TCP,Taba International,Taba,Egypt,,,,,,,
GNE,Ghent,Ghent,Belgium,,,,,,,
CCM,Criciuma,Criciuma,Brazil,,,,,,,
YHK,Gjoa Haven,Gjoa Haven,Canada,,,,,,,
YVT,Buffalo Narrows,Buffalo Narrows,Canada,,,,,,,
SRL,Santa Rosalia,Santa Rosalia,Mexico,,,,,,,
NCP,Cubi Pt NAS,Luzon Is,Philippines,,,,,,,
CAL,Machrihanish,Campbeltown,United Kingdom,,,,,,,
NAO,Nanchong,Nanchong,China,,,,,,,
EFW,Municipal,Jefferson,United States,,,,,,,
DSN,Dongsheng,Dongsheng,China,,,,,,,
BAE,Barcelonnette,Barcelonnette,France,,,,,,,
KSF,Kassel-Calden,Kassel,Germany,,,,,,,
GEB,Gebe,Gebe,Indonesia,,,,,,,
OTP,Henri Coanda International,Bucharest,Romania,,,,,,,
ZTD,Schenectady Rail,Schenectady,United States,,,,,,,
TFN,Tenerife Norte,Tenerife,Spain,,,,,,,
LUK,Cincinnati Municipal-Lunken Field,"Cincinnati, OH",United States,,,,,,,
YAQ,Maple Bay,Maple Bay,Canada,,,,,,,
PLJ,Placencia,Placencia,Belize,,,,,,,
HTI,Hamilton Island,Hamilton Island,Australia,,,,,,,
WUN,Wiluna,Wiluna,Australia,,,,,,,
BYC,Yacuiba,Yacuiba,Bolivia,,,,,,,
DUQ,Duncan/Quam,Duncan/Quam,Canada,,,,,,,
VLR,Vallenar,Vallenar,Chile,,,,,,,
NTA,Natadola,Natadola,Fiji,,,,,,,
KDD,Khuzdar,Khuzdar,Pakistan,,,,,,,
KIE,Aropa,Kieta,Papua New Guinea,,,,,,,
CGF,Cuyahoga County,Cleveland,United States,,,,,,,
TOB,Tobruk,Tobruk,Libya,,,,,,,
SMD,Smith Field,"Fort Wayne, IN",United States,,,,,,,
STS,Sonoma County,Santa Rosa,United States,,,,,,,
QWG,Wilgrove Air Park,"Charlotte, NC",United States,,,,,,,
STY,Salto,Salto,Uruguay,,,,,,,
LAS,Mc Carran Intl,Las Vegas,United States,,,,,,,
LVM,Mission Field,Livingston,United States,,,,,,,
RDU,Raleigh-durham International Airport,"Raleigh/Durham, NC",United States,,,,,,,
TNI,Satna,Satna,India,,,,,,,
TTR,Tana Toraja,Tana Toraja,Indonesia,,,,,,,
CHE,Reenroe,Caherciveen,Ireland,,,,,,,
ZBY,Sayaboury,Sayaboury,Laos,,,,,,,
OSE,Omora,Omora,Papua New Guinea,,,,,,,
IAR,Yaroslavl,Yaroslavl,Russian Federation,,,,,,,
FFT,Capital City,"Frankfort, KY",United States,,,,,,,
LVO,Laverton,Laverton,Australia,,,,,,,
XTR,Tara,Tara,Australia,,,,,,,
PBQ,Pimenta Bueno,Pimenta Bueno,Brazil,,,,,,,
KZC,Kompong-Chhna,Kompong-Chhna,Cambodia,,,,,,,
SWD,Seward,Seward,United States,,,,,,,
BDY,State,Bandon,United States,,,,,,,
QMQ,Murzuq,Murzuq,Libya,,,,,,,
CME,Ciudad Del Carmen,Ciudad Del Carmen,Mexico,,,,,,,
GTN,Glentanner,Mount Cook,New Zealand,,,,,,,
NUG,Nuguria,Nuguria,Papua New Guinea,,,,,,,
KOP,Nakhon Phanom,Nakhon Phanom,Thailand,,,,,,,
BNO,Burns,Burns,United States,,,,,,,
NDS,Sandstone,Sandstone,Australia,,,,,,,
KBY,Streaky Bay,Streaky Bay,Australia,,,,,,,
SNG,San Ignacio De Velasco,San Ignacio De Velasco,Bolivia,,,,,,,
CMG,Intl. Airport Corumba,Corumba,Brazil,,,,,,,
ZEL,Bella Bella,Bella Bella,Canada,,,,,,,
PEH,Pehuajo,Pehuajo,Argentina,,,,,,,
YSM,Fort Smith,Fort Smith,Canada,,,,,,,
BCF,Bouca,Bouca,Central African Republic,,,,,,,
AER,Adler/Sochi,Adler/Sochi,Russian Federation,,,,,,,
FLH,Flotta,Flotta,United Kingdom,,,,,,,
BJI,Bemidji,Bemidji,United States,,,,,,,
MFJ,Moala,Moala,Fiji,,,,,,,
KMD,Mandji,Mandji,Gabon,,,,,,,
AHL,Aishalton,Aishalton,Guyana,,,,,,,
GLQ,Glennallen,Glennallen,United States,,,,,,,
GWS,Glenwood Springs,Glenwood Springs,United States,,,,,,,
TWF,Joslin Field - Magic Valley Regional,"Twin Falls, ID",United States,,,,,,,
PEQ,Pecos City,Pecos City,United States,,,,,,,
SZX,Shenzhen,Shenzhen,China,,,,,,,
ULQ,Farfan,Tulua,Colombia,,,,,,,
MUY,Mouyondzi,Mouyondzi,Congo,,,,,,,
RBI,Rabi,Rabi,Fiji,,,,,,,
MNK,Maiana,Maiana,Kiribati,,,,,,,
EGM,Sege,Sege,Solomon Islands,,,,,,,
ENW,Kenosha Regional Airport,Kenosha,United States,,,,,,,
SLB,Municipal,Storm Lake,United States,,,,,,,
VDI,Municipal,Vidalia,United States,,,,,,,
IKO,Nikolski AFS,Nikolski,United States,,,,,,,
VCV,Southern California Logistics,"Victorville, CA",United States,,,,,,,
TKL,Taku SPB,Taku Lodge,United States,,,,,,,
JRA,West 30th St Heliport,New York,United States,,,,,,,
FLJ,Falls Bay,Falls Bay,United States,,,,,,,
HLC,Hill City,Hill City,United States,,,,,,,
BUY,Bunbury,Bunbury,Australia,,,,,,,
TDL,Tandil,Tandil,Argentina,,,,,,,
NQU,Nuqui,Nuqui,Colombia,,,,,,,
PST,Preston,Preston,Cuba,,,,,,,
HOQ,Hof,Hof,Germany,,,,,,,
AIO,Municipal,Atlantic,United States,,,,,,,
TRN,Sandro Pertini,Turin,Italy,,,,,,,
RBN,Fort Jefferson,Fort Jefferson,United States,,,,,,,
LIH,Lihue,Kauai Island,United States,,,,,,,
FRH,Municipal,French Lick,United States,,,,,,,
OLH,Old Harbor SPB,Old Harbor,United States,,,,,,,
AND,Anderson,Anderson,United States,,,,,,,
NRC,Aux Field,Crows Landing,United States,,,,,,,
BWG,Warren County,Bowling Green,United States,,,,,,,
OKC,Will Rogers World Airport,Oklahoma City,United States,,,,,,,
DWF,Wright AFB,Dayton,United States,,,,,,,
GBE,Sir Seretse Khama International,Gaborone,Botswana,,,,,,,
YHZ,Halifax International,"Halifax, NS",Canada,,,,,,,
ICR,Nicaro,Nicaro,Cuba,,,,,,,
FAC,Faaite,Faaite,French Polynesia,,,,,,,
MZA,Muzaffarnagar,Muzaffarnagar,India,,,,,,,
TCH,Tchibanga,Tchibanga,Gabon,,,,,,,
CRU,Carriacou Is,Carriacou Is,Grenada,,,,,,,
XIJ,Ahmed Al Jaber,Ahmed Al Jaber,Kuwait,,,,,,,
AKI,Akiak,Akiak,United States,,,,,,,
CYS,Cheyenne,Cheyenne,United States,,,,,,,
NBV,Cana Brava,Cana Brava,Brazil,,,,,,,
LBR,Labrea,Labrea,Brazil,,,,,,,
MWV,Mundulkiri,Mundulkiri,Cambodia,,,,,,,
SSQ,La Sarre,La Sarre,Canada,,,,,,,
TQN,Taluqan,Taluqan,Afghanistan,,,,,,,
RGL,Internacional,Rio Gallegos,Argentina,,,,,,,
EFG,Efogi,Efogi,Papua New Guinea,,,,,,,
BET,Bethel Airport,Bethel,United States,,,,,,,
OGL,Ogle,Ogle,Guyana,,,,,,,
APQ,Arapiraca,Arapiraca,Brazil,,,,,,,
KUC,Kuria,Kuria,Kiribati,,,,,,,
THK,Thakhek,Thakhek,Laos,,,,,,,
BWA,Bhairawa,Bhairawa,Nepal,,,,,,,
HKK,Hokitika Arpt,Hokitika,New Zealand,,,,,,,
BOS,Logan International,Boston,United States,,,,,,,
OGD,Municipal,Ogden,United States,,,,,,,
SRV,Stony River,Stony River,United States,,,,,,,
GRT,Gujrat,Gujrat,Pakistan,,,,,,,
KDW,Vic. Resevour Kandy,Kandy,Sri Lanka,,,,,,,
BTM,Bert Mooney Airport,"Butte,",United States,,,,,,,
DEC,Decatur Arpt,Decatur,United States,,,,,,,
JNP,Heliport,Newport Beach,United States,,,,,,,
GGW,International,Glasgow,United States,,,,,,,
SLG,Smith Field,Siloam Springs,United States,,,,,,,
CDR,Chadron,Chadron,United States,,,,,,,
BGM,Greater Binghamton,"Binghamton, NY",United States,,,,,,,
MBY,Moberly,Moberly,United States,,,,,,,
PAG,Pagadian,Pagadian,Philippines,,,,,,,
RBV,Ramata,Ramata,Solomon Islands,,,,,,,
MHK,Municipal,Manhattan,United States,,,,,,,
EOS,Neosho,Neosho,United States,,,,,,,
TOW,Toledo,Toledo,Brazil,,,,,,,
YZU,Whitecourt,Whitecourt,Canada,,,,,,,
WUZ,Changzhoudao,Wuzhou,China,,,,,,,
WXN,Wanxian,Wanxian,China,,,,,,,
CRB,Collarenebri,Collarenebri,Australia,,,,,,,
JMK,Mikonos,Mikonos,Greece,,,,,,,
OHP,Heliport,Oban,United Kingdom,,,,,,,
ASQ,Austin,Austin,United States,,,,,,,
LBZ,Lukapa,Lukapa,Angola,,,,,,,
SVK,Silver Creek,Silver Creek,Belize,,,,,,,
EPN,Epena,Epena,Congo,,,,,,,
AGQ,Agrinion,Agrinion,Greece,,,,,,,
YNY,Yangyang,Yangyang,Korea,,,,,,,
SEY,Selibaby,Selibaby,Mauritania,,,,,,,
GRN,Gordon,Gordon,United States,,,,,,,
STT,Cyril E King Airport,"Charlotte Amalie, St Thomas","Virgin Islands, US",,,,,,,
CFS,Coffs Harbour,Coffs Harbour,Australia,,,,,,,
YAA,Anahim Lake,Anahim Lake,Canada,,,,,,,
KIF,Kingfisher Lake,Kingfisher Lake,Canada,,,,,,,
FYT,Faya,Faya,Chad,,,,,,,
EMI,Emirau,Emirau,Papua New Guinea,,,,,,,
LSU,Long Sukang,Long Sukang,Malaysia,,,,,,,
UVE,Ouvea,Ouvea,New Caledonia,,,,,,,
INR,Kincheloe AFB,Sault Ste Marie,United States,,,,,,,
UMB,North Shore,Umnak Island,United States,,,,,,,
TWA,Twin Hills,Twin Hills,United States,,,,,,,
PBR,Puerto Barrios,Puerto Barrios,Guatemala,,,,,,,
LAR,General Brees Field,Laramie,United States,,,,,,,
RAC,Horlick,Racine,United States,,,,,,,
PYM,Plymouth,Plymouth,United States,,,,,,,
OSH,Wittman Field,Oshkosh,United States,,,,,,,
KHR,Kharkhorin,Kharkhorin,Mongolia,,,,,,,
UYL,Nyala,Nyala,Sudan,,,,,,,
SFA,Sfax Thyna,Sfax,Tunisia,,,,,,,
SJK,Sao Jose Dos Campos,Sao Jose Dos Campos,Brazil,,,,,,,
YPM,Pikangikum,Pikangikum,Canada,,,,,,,
LLL,Lissadell,Lissadell,Australia,,,,,,,
SSS,Siassi,Siassi,Papua New Guinea,,,,,,,
ZYD,Lisbon TP,Lisbon,Portugal,,,,,,,
PHS,Phitsanulok,Phitsanulok,Thailand,,,,,,,
AFY,Afyon,Afyon,Turkey,,,,,,,
JFN,Ashtabula,Jefferson,United States,,,,,,,
ZXS,Exchangest Railway Svc,Buffalo,United States,,,,,,,
TOC,Toccoa,Toccoa,United States,,,,,,,
AII,Alisabieh,Alisabieh,Djibouti,,,,,,,
CTF,Coatepeque Airport,Coatepeque,Guatemala,,,,,,,
CYA,Les Cayes,Les Cayes,Haiti,,,,,,,
ZGL,South Galway,South Galway,Australia,,,,,,,
TKR,Thakurgaon,Thakurgaon,Bangladesh,,,,,,,
MUB,Maun,Maun,Botswana,,,,,,,
YPH,Inukjuak,Inukjuak,Canada,,,,,,,
BNA,Nashville International,"Nashville, TN",United States,,,,,,,
ZJT,Tanjung Pelepas Port,Tanjung Pelepas,Malaysia,,,,,,,
IMI,Ine Island,Ine Island,Marshall Islands,,,,,,,
MXL,Mexicali,Mexicali,Mexico,,,,,,,
RRM,Marromeu,Marromeu,Mozambique,,,,,,,
TPP,Tarapoto,Tarapoto,Peru,,,,,,,
